Resp_Day,ID_fish,chamber_ch,Temp_class,RMR,RMR_var,RMR_perc,time_start,time_end,mass,length,volume_net,SMR,MMR,log_mass,Month,resid,SMR_mass,SMR_resid,RMR_mass,RMR_resid,MMR_mass,MMR_resid,Rack,Bin,TagID,Final_Mass_g,Final_Length_mm,Gonad_mass_g,Sex,Fat_mass_g,Ventricle_mass_g,Otolith_age_y,mass_prev,SGR,Period_start,Period_end,SMR_prev,SMR_mass_prev,RMR_prev,RMR_mass_prev,MMR_prev,MMR_mass_prev,Overall_SGR,SGR_predict,SGR_resid,time,Month_int,GutRatio_1,GutRatio_2,Location,Density_tagged,Density,Density_diff
1,81,A2,18,0.303683772,NA,NA,27/04/2023 17:17,28/04/2023 10:17,1.93,71,708.07,0.160533675,0.862779193,0.285557309,April,NA,0.572000736,NA,0.729261258,NA,1.334635255,NA,3,6,YL,4.62,94,0.035,F,0.315,0.017,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
1,82,B3,18,0.277036153,NA,NA,27/04/2023 17:17,28/04/2023 10:17,0.74,60,709.26,0.145691605,0.498802069,-0.13076828,April,NA,0.596197818,NA,0.776133043,NA,1.447612834,NA,3,6,YR,3.65,86,0.022,M,0.123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
1,83,B4,18,0.310870543,NA,NA,27/04/2023 17:17,28/04/2023 10:17,1.43,72,708.57,0.184754235,0.994174747,0.155336037,April,NA,0.518778473,NA,0.741215689,NA,0.985677266,NA,3,6,BrL,2.638,84,0.018,F,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
1,84,B1,18,0.574179365,NA,NA,27/04/2023 17:17,28/04/2023 10:17,2.1,76,707.9,0.30908121,1.032244176,0.322219295,April,NA,0.470061352,NA,0.688563298,NA,1.511717232,NA,3,6,BrR,6.33,98,0.039,M,0.314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
1,85,A3,18,0.413574592,NA,NA,27/04/2023 17:17,28/04/2023 10:17,1.75,75,708.25,0.28259298,0.930572431,0.243038049,April,NA,0.504865433,NA,0.69161996,NA,1.877101996,NA,3,6,RL,5.187,100,0.052,M,0.214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
1,86,A1,18,0.42692281,NA,NA,27/04/2023 17:17,28/04/2023 10:17,0.78,59,709.22,0.204037054,0.757734581,-0.107905397,April,NA,0.670268842,NA,0.790652135,NA,1.740518653,NA,3,6,RR,4.16,95,0.028,I,0.091,0.003,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
1,87,A4,18,0.615007051,NA,NA,27/04/2023 17:17,28/04/2023 10:17,2.28,80,707.72,0.322333886,0.975183828,0.357934847,April,NA,0.659445213,NA,0.954494965,NA,1.79168061,NA,3,6,BL,3.78,90,0.362,M,0.076,0.004,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
1,88,B2,18,0.468177418,NA,NA,27/04/2023 17:17,28/04/2023 10:17,2.18,76,707.82,0.25596902,0.99227062,0.338456494,April,NA,0.50757729,NA,0.630420804,NA,1.560921638,NA,3,6,BR,3.575,89,0.033,F,0.044,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
1,89,D2,18,0.554009299,NA,NA,27/04/2023 17:17,28/04/2023 10:17,2.24,78,707.76,0.387332283,1.137391847,0.350248018,April,NA,0.675016666,NA,0.837084093,NA,1.259832589,NA,3,7,YL,4.254,91,0.015,F,0.15,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
1,90,C4,18,0.521670878,NA,NA,27/04/2023 17:17,28/04/2023 10:17,1.23,64,708.77,0.275319496,0.969537694,0.089905111,April,NA,0.456343545,NA,0.655381243,NA,1.747555024,NA,3,7,YR,5.381,98,0.093,M,0.209,0.002,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
