Month,Temp,ID,mass,SGR,SMR,SMR_mass,SMR_prev,MMR,MMR_mass,MMR_prev,Ratio
November,18,1,2.09,-0.208622035,0.170001793,0.504721673,NA,0.857589087,1.849850899,NA,NA
November,18,2,3.28,0.215494496,0.315615137,0.464722499,NA,1.039032384,1.432751003,NA,NA
November,18,3,5.08,0.029393956,0.316659093,0.387830966,NA,2.009536338,2.191010167,NA,NA
November,18,4,4.44,0.408042907,0.631063054,0.567841089,NA,1.662745289,1.50946839,NA,NA
November,18,5,2.56,-0.011907026,0.215060273,0.489476379,NA,1.071986303,1.849725054,NA,NA
November,18,6,5.82,0.035804797,0.454233252,0.439320263,NA,2.057667317,2.020893562,NA,NA
November,18,7,5.52,0.351824944,0.647831457,0.499194391,NA,2.020960136,1.670355674,NA,NA
November,18,8,3.17,0.476343105,0.403824791,0.533313505,NA,1.5191845,1.857933621,NA,NA
November,18,9,4.75,0.417328045,0.73322404,0.652462628,NA,2.163407947,1.968756476,NA,NA
November,18,10,3.01,0.297277387,0.417965924,0.574417101,NA,1.042655084,1.457247378,NA,NA
November,18,11,6.41,0.346154643,0.855234627,0.574126017,NA,2.238727292,1.600057072,NA,NA
November,18,12,4.44,0.467043677,0.689356318,0.607759077,NA,2.593559026,2.396947497,NA,NA
November,18,13,4.61,0.36093484,0.409665492,0.396414699,NA,2.006781724,1.974086999,NA,NA
November,18,15,5.79,0.160927929,0.745832957,0.667578696,NA,2.059434552,1.870668734,NA,NA
November,18,16,1.52,0.153807285,0.087403812,0.44251946,NA,0.844807436,1.916538485,NA,NA
November,18,17,5.63,0.347276599,0.945591034,0.725373358,NA,3.434719473,2.926031012,NA,NA
November,18,18,3.07,0.530359733,0.666121938,0.724923856,NA,1.932372717,2.081542633,NA,NA
November,18,19,4.81,0.097989633,0.525136333,0.570725776,NA,2.095682905,2.210720051,NA,NA
November,18,20,4.37,0.10942518,0.354908899,0.438434073,NA,1.854120471,2.068204418,NA,NA
November,18,21,3.55,0.200626201,0.192971937,0.340446348,NA,2.052343885,2.441443615,NA,NA
November,18,22,4.31,0.285889799,0.451473936,0.44403886,NA,1.848295665,1.829911454,NA,NA
November,18,23,5.8,0.558278126,1.503709351,1.225142331,NA,3.234509849,2.601189069,NA,NA
November,18,24,4.83,0.093798336,0.331002534,0.376591977,NA,1.924941866,2.039979012,NA,NA
November,18,25,4.27,0.661572103,0.854109381,0.71303089,NA,2.234086365,1.900540526,NA,NA
November,18,26,2.49,0.066710517,0.251779059,0.527793432,NA,1.113373537,1.896480451,NA,NA
November,18,27,5.61,-0.003607507,0.32566151,0.348914491,NA,2.210962509,2.269125901,NA,NA
November,18,28,3.13,-0.012991832,0.219661387,0.385892755,NA,1.443276665,1.885931818,NA,NA
November,18,29,0.73,1.302293318,0.170817331,0.511041711,NA,0.659734001,1.673029105,NA,NA
November,18,30,5.27,0.38694798,0.540204245,0.394927049,NA,1.703925807,1.360895006,NA,NA
November,18,31,3,-0.125305706,0.290853272,0.549256923,NA,1.137745694,1.862496916,NA,NA
November,18,32,3.3,0.315529985,0.421658446,0.565865884,NA,1.354680396,1.734563512,NA,NA
November,18,33,2.9,0.1305169,0.433625732,0.643694228,NA,1.316324069,1.888821403,NA,NA
November,18,34,2.1,-0.02928034,0.160450697,0.490445033,NA,0.703382669,1.677812798,NA,NA
November,18,35,5,0.110859459,0.717719281,0.748423279,NA,1.958829141,2.035851952,NA,NA
March,18,1,1.7,0.497444647,0.049438711,0.323854817,0.170001793,1.052470821,1.830209572,0.857589087,NA
March,18,3,5.23,0.305731593,0.385833797,0.311757005,0.316659093,1.965442519,1.786504487,2.009536338,NA
March,18,5,2.53,0.004241697,0.128103114,0.415289529,0.215060273,1.256927974,2.077986784,1.071986303,NA
March,18,6,6.03,0.212853013,0.471587727,0.364052677,0.454233252,2.085299045,1.828368884,2.057667317,NA
March,18,7,7.82,0.276172558,0.688105301,0.347587868,0.647831457,1.852580328,1.090624429,2.020960136,NA
March,18,8,5.08,0.424635398,0.537378257,0.413920427,0.403824791,1.871465399,1.577977172,1.5191845,NA
March,18,9,7.18,0.286251305,0.669867447,0.392147539,0.73322404,2.313901271,1.682364881,2.163407947,NA
March,18,10,4.04,0.580231313,0.744757159,0.672350961,0.417965924,1.648791321,1.473790873,1.042655084,NA
March,18,11,9.03,0.022389968,0.442686012,0.177667692,0.855234627,1.900018865,1.295323557,2.238727292,NA
March,18,12,7.05,0.343116418,0.554528212,0.24883157,0.689356318,2.561306891,1.87120933,2.593559026,NA
March,18,13,6.59,0.356423501,0.979308192,0.717675339,0.409665492,1.822662517,1.225148885,2.006781724,NA
March,18,15,6.79,0.222376986,0.551108174,0.35956388,0.745832957,1.782701818,1.336611572,2.059434552,NA
March,18,16,1.77,0.29557927,0.300591406,0.604481516,0.087403812,0.951402692,1.830700895,0.844807436,NA
March,18,17,7.94,0.184927765,0.593183198,0.310379986,0.945591034,2.57180601,1.929572595,3.434719473,NA
March,18,18,5.19,0.385798023,0.478807869,0.364570805,0.666121938,2.275992054,2.003631804,1.932372717,NA
March,18,19,5.3,0.299143364,0.535507788,0.457253527,0.525136333,2.251599926,2.062834107,2.095682905,NA
March,18,20,4.87,0.249172909,0.455200624,0.448596114,0.354908899,2.090534871,2.074199356,1.854120471,NA
March,18,21,4.33,0.200999849,0.498550266,0.568073765,0.192971937,1.797712084,1.974861288,2.052343885,NA
March,18,22,5.72,0.816242095,0.860995788,0.340285169,0.451473936,3.437587982,2.319805616,1.848295665,NA
March,18,23,10.08,0.08113273,0.820882512,0.415646446,1.503709351,3.321818369,2.429129382,3.234509849,NA
March,18,24,5.3,0.272707369,0.456795581,0.39273897,0.331002534,1.801374984,1.646118507,1.924941866,NA
March,18,25,8.22,0.218269352,1.176427786,0.839310451,0.854109381,3.231578183,2.476590345,2.234086365,NA
March,18,26,2.66,0.422424302,0.410324635,0.584695821,0.251779059,1.070352003,1.536601672,1.113373537,NA
March,18,27,5.59,0.335933673,0.579697417,0.447851616,0.32566151,2.395178835,2.082570665,2.210962509,NA
March,18,28,3.09,0.121610213,0.407840785,0.621144483,0.219661387,1.754993746,2.337360438,1.443276665,NA
March,18,29,2.65,0.593007165,0.410341371,0.530821663,0.170817331,1.551998503,1.865875781,0.659734001,NA
March,18,30,7.73,0.290744576,0.867176819,0.524959101,0.540204245,1.980606972,1.215170423,1.703925807,NA
March,18,31,2.65,0.595342169,0.429484084,0.549144925,0.290853272,2.078626702,2.390252602,1.137745694,NA
March,18,32,4.51,0.104432996,0.258643508,0.348750138,0.421658446,1.70449019,1.936095558,1.354680396,NA
March,18,33,3.3,0.198756587,0.271756028,0.44368627,0.433625732,1.363077543,1.822228507,1.316324069,NA
March,18,34,2.04,0.381939004,0.244255582,0.501857226,0.160450697,1.016122966,1.738256755,0.703382669,NA
March,18,35,5.58,0.083395951,0.4625235,0.465051015,0.717719281,1.434264335,1.440537037,1.958829141,NA
