"","ds","Month","Temp","ID","mass","mass_prev","SGR","SGR_2m","SMR","SMR_mass","SMR_resid","SMR_prev","SMR_mass_prev","MMR","MMR_mass","MMR_prev","MMR_mass_prev","Ratio","Ratio_linear","log_SMR","log_MMR","log_mass"
"1","B1","May","18","B1_1",1.65,1.05,NA,1.8970121604575,0.371953937,NA,0.079821558,0.174641307,NA,0.91009889,NA,0.661052661,NA,NA,NA,-0.429510840078798,-0.0409114153185422,0.217483944213906
"2","B1","June","18","B1_1",2.66,1.65,1.989795145,0.846043485867217,0.550332965,NA,0.088108349,0.371953937,NA,1.408504796,NA,0.91009889,NA,NA,NA,-0.259374472126501,0.148758330109715,0.424881636631067
"3","B1","July","18","B1_1",2.65,2.66,-0.011770259,-0.459330165119055,0.282841214,NA,-0.199697965,0.550332965,NA,1.134667013,NA,1.408504796,NA,67.1810956609544,74.8246101000004,-0.548457307362256,0.0548684292521998,0.423245873936808
"4","B1","August","18","B1_1",2.01,2.65,-0.953189372,0.345279258967476,0.332132529,NA,-0.036244442,0.282841214,NA,1.050672602,NA,1.134667013,NA,50.2421308,50.2421308,-0.478688587595312,0.0214674074689537,0.303196057420489
"5","B1","September","18","B1_1",3.26,2.01,1.55997572,NA,0.598459968,NA,0.055582066,0.332132529,NA,1.711625961,NA,1.050672602,NA,NA,NA,-0.222964894978816,0.23340886500139,0.513217600067939
"6","B1","May","18","B1_2",3.18,2.51,NA,1.29745792359856,0.646915694,NA,0.097815352,0.32074738,NA,1.556666084,NA,1.275325802,NA,NA,NA,-0.189152312864886,0.192195463288228,0.502427119984433
"7","B1","June","18","B1_2",4.74,3.18,1.663149745,1.06391229237129,0.798920327,NA,0.054190838,0.646915694,NA,2.557515332,NA,1.556666084,NA,NA,NA,-0.097496528908203,0.407818245935728,0.675778341674085
"8","B1","July","18","B1_2",5.77,4.74,0.614484203,-0.0527165764500515,0.639669454,NA,-0.108999732,0.798920327,NA,2.338950215,NA,2.557515332,NA,74.5462411109544,65.1575258687501,-0.194044387559727,0.369020977866918,0.761175813155731
"9","B1","August","18","B1_2",4.59,5.77,-0.788938126,-0.0262014129782473,0.635540633,NA,-0.034270754,0.639669454,NA,2.59107438,NA,2.338950215,NA,64.0957447,64.0957447,-0.196856677803042,0.413479880125892,0.661812685537261
"10","B1","September","18","B1_2",5.68,4.59,0.68732648,NA,0.741721764,NA,-0.039386277,0.635540633,NA,2.560948211,NA,2.59107438,NA,NA,NA,-0.129758977498344,0.408400795998948,0.754348335711019
"11","B1","May","18","B1_3",2.29,1.81,NA,0.838724007998233,0.435675562,NA,0.037406916,0.211311578,NA,0.84389014,NA,1.100050832,NA,NA,NA,-0.360836799913235,-0.0737140873758402,0.359835482339888
"12","B1","June","18","B1_3",2.73,2.29,0.732290798,NA,0.482738771,NA,0.022391496,0.435675562,NA,1.71123089,NA,0.84389014,NA,NA,NA,-0.316287819567118,0.233308611228889,0.436162647040756
"13","B1","May","18","B1_4",2.12,1.63,NA,0.921280089128164,0.37170061,NA,-0.005420485,0.237795009,NA,1.226775751,NA,0.939734851,NA,NA,NA,-0.429806726180528,0.0887651829356734,0.326335860928751
"14","B1","June","18","B1_4",2.56,2.12,0.785796541,0.832963608591082,0.36849497,NA,-0.073098742,0.37170061,NA,1.788464453,NA,1.226775751,NA,NA,NA,-0.433568435935603,0.25248031265979,0.40823996531185
"15","B1","July","18","B1_4",3.38,2.56,0.868338909,0.617050778957792,0.430522988,NA,-0.099707999,0.36849497,NA,1.796062901,NA,1.788464453,NA,79.1794562609544,66.5030525500001,-0.366003654210311,0.254321542286101,0.528916700277655
"16","B1","August","18","B1_4",3.73,3.38,0.339767325,0.832532240740442,0.541141086,NA,-0.033788076,0.430522988,NA,2.093739025,NA,1.796062901,NA,69.9814126,69.9814126,-0.26668949111697,0.320922547894028,0.571708831808688
"17","B1","September","18","B1_4",5.57,3.73,1.293505872,NA,1.143397852,NA,0.155197973,0.541141086,NA,2.898328026,NA,2.093739025,NA,NA,NA,0.0581973720085465,0.462147536352471,0.745855195173729
"18","B1","May","18","B1_5",1.23,1.13,NA,1.59591942431763,0.2610405,NA,0.025600607,0.196253758,NA,1.043865121,NA,1.063922926,NA,NA,NA,-0.583292107366699,0.0186443866071674,0.0899051114393979
"19","B1","June","18","B1_5",2.47,1.23,2.905016589,NA,0.595725459,NA,0.147645353,0.2610405,NA,1.82463931,NA,1.043865121,NA,NA,NA,-0.224953839439596,0.26117702706191,0.392696953259666
"20","B1","May","18","B1_6",2.46,1.3,NA,2.47894787738952,0.595250673,NA,0.148674002,0.228154454,NA,1.566102743,NA,1.196709179,NA,NA,NA,-0.225300104902467,0.194820250221457,0.390935107103379
"21","B1","June","18","B1_6",4.38,2.46,2.403697394,NA,0.882186252,NA,0.124018081,0.595250673,NA,2.441847865,NA,1.566102743,NA,NA,NA,-0.0544397145547329,0.387718602504362,0.6414741105041
"22","B1","May","18","B1_7",1.72,1.51,NA,1.44809777708627,0.442948169,NA,0.14160369,0.126718493,NA,1.257516466,NA,0.848940131,NA,NA,NA,-0.353647089204074,0.0995136804445617,0.235528446907549
"23","B1","June","18","B1_7",3.07,1.72,2.413971962,1.37269211748925,0.668026572,NA,0.123692475,0.442948169,NA,2.048061513,NA,1.257516466,NA,NA,NA,-0.1752062623097,0.31134299642258,0.487138375477186
"24","B1","July","18","B1_7",3.71,3.07,0.591732234,0.157701881796429,0.466624267,NA,-0.096309131,0.668026572,NA,1.939349099,NA,2.048061513,NA,85.5052683109544,94.3276029187546,-0.331032679279634,0.287655992741845,0.569373909615046
"25","B1","August","18","B1_7",3.38,3.71,-0.321228162,0.753308539571762,1.0141396,NA,0.272393396,0.466624267,NA,2.008795336,NA,1.939349099,NA,68.1172291,68.1172291,0.00609774132540766,0.302935691365651,0.528916700277655
"26","B1","September","18","B1_7",5.83,3.38,1.758520293,NA,0.953858708,NA,0.061022646,1.0141396,NA,3.401833777,NA,2.008795336,NA,NA,NA,-0.0205159511663605,0.531713088966341,0.765668554759014
"27","B1","May","18","B1_8",3.01,2.38,NA,1.06975798968887,0.527641648,NA,0.027927153,0.27917019,NA,1.615694695,NA,1.223450659,NA,NA,NA,-0.277660931884734,0.208359299010682,0.478566495593843
"28","B1","June","18","B1_8",4.02,3.01,1.205590933,0.814650963010296,0.559166181,NA,-0.044933566,0.527641648,NA,1.849324826,NA,1.615694695,NA,NA,NA,-0.252459103087178,0.267013199828437,0.60422605308447
"29","B1","July","18","B1_8",4.75,4.02,0.521445986,0.0718075781285134,0.382902963,NA,-0.265938165,0.559166181,NA,2.019642039,NA,1.849324826,NA,77.1610572609544,99.0340874375033,-0.416911272958734,0.305274401989635,0.676693609624867
"30","B1","August","18","B1_8",4.2,4.75,-0.424345147,0.634328402550252,0.565133424,NA,-0.055168876,0.382902963,NA,1.82362812,NA,2.019642039,NA,54.8013245,54.8013245,-0.247849006222727,0.260936280320161,0.6232492903979
"31","B1","September","18","B1_8",6.95,4.2,1.624700433,NA,1.01649351,NA,0.029087324,0.565133424,NA,2.982467937,NA,1.82362812,NA,NA,NA,0.00710461014554256,0.474575783487787,0.841984804590114
"32","B1","May","18","B1_9",1.56,1.57,NA,0.875453638715005,0.420143313,NA,0.151739466,0.182775996,NA,0.826280989,NA,0.760765291,NA,NA,NA,-0.376602544295715,-0.082872239337681,0.193124598354462
"33","B1","June","18","B1_9",2.39,1.56,1.777531436,1.64080634417112,0.526122304,NA,0.104844638,0.420143313,NA,1.268390507,NA,0.826280989,NA,NA,NA,-0.278913286686398,0.103252982982184,0.378397900948138
"34","B1","July","18","B1_9",3.91,2.39,1.538262525,0.630037166449762,0.398822592,NA,-0.18229165,0.526122304,NA,1.471209685,NA,1.268390507,NA,84.2076591109544,66.3631505437497,-0.399220248296608,0.167674575207871,0.592176757395867
"35","B1","August","18","B1_9",3.51,3.91,-0.37214254,0.331348218171625,0.600961934,NA,0.032351821,0.398822592,NA,1.469185047,NA,1.471209685,NA,76.9784173,76.9784173,-0.221153036112594,0.167076499554528,0.545307116465824
"36","B1","September","18","B1_9",4.77,3.51,0.989452476,NA,0.810264716,NA,0.058176016,0.600961934,NA,2.322812118,NA,1.469185047,NA,NA,NA,-0.0913730725826292,0.366014083060789,0.678518379040114
"37","B1","May","18","B1_10",1.33,1.11,NA,1.23703063905571,0.250793024,NA,-0.018283118,0.138933606,NA,1.026016125,NA,0.542556132,NA,NA,NA,-0.600684547906876,0.0111541862567822,0.123851640967086
"38","B1","June","18","B1_10",2.01,1.33,1.720649083,0.807116292398316,0.497081937,NA,0.138872127,0.250793024,NA,1.399424972,NA,1.026016125,NA,NA,NA,-0.303572017999112,0.145949619401074,0.303196057420489
"39","B1","July","18","B1_10",2.09,2.01,0.1219667,-0.16278396882341,0.258812533,NA,-0.157798218,0.497081937,NA,1.307762341,NA,1.399424972,NA,76.9120993609544,73.7394777,-0.587014696778644,0.116528827038539,0.320146286111054
